"datetime","casos","tempmed","umidmed"
2020-01-26,77,28,73.15018814
2020-02-02,57,25.42380943,86.58233871
2020-02-09,77,23.52857143,86.38712671
2020-02-16,65,25.96655886,82.06946857
2020-02-23,49,24.601732,80.19736929
2020-03-01,70,22.62532457,85.11521571
2020-03-08,53,24.58051971,78.16678643
2020-03-15,39,26.18668857,80.13339914
2020-03-22,32,23.875,75.45504071
2020-03-29,36,25.77380943,75.54253514
2020-04-05,21,23.13095257,79.09928943
2020-04-12,28,23.27976171,76.559027
2020-04-19,29,23.14880971,74.70331571
2020-04-26,29,23.994048,73.03121143
2020-05-03,29,21.25595257,77.45988786
2020-05-10,13,21.07976171,77.98793843
2020-05-17,12,22.940476,75.74137571
2020-05-24,16,20.38095229,73.58562286
2020-05-31,11,21.77380971,76.65197271
2020-06-07,16,23.76071443,80.94097114
2020-06-14,22,21.415927,78.17631429
2020-06-21,14,22.40095929,71.40429857
2020-06-28,13,21.51372771,69.47503843
2020-07-05,18,21.56243371,73.702986
2020-07-12,22,21.17172186,76.57329186
2020-07-19,17,22.31291171,70.03728357
2020-07-26,11,21.962992,74.11340414
2020-08-02,11,20.09260314,72.71763129
2020-08-09,12,23.49404771,68.92796729
2020-08-16,10,21.708404,79.60616
2020-08-23,9,20.43478257,72.29677857
2020-08-30,10,24.73324457,68.80956614
2020-09-06,10,24.96332114,73.71254986
2020-09-13,12,25.37589371,70.42248157
2020-09-20,14,22.56672314,80.48557571
2020-09-27,11,27.25008686,71.34443857
2020-10-04,12,24.72856267,78.870194
2020-10-11,10,23.33201567,69.512531
2020-10-18,19,24.35086114,67.449365
2020-10-25,9,24.36349514,75.42029486
2020-11-01,12,20.98341314,75.10496386
2020-11-08,25,24.3736,83.05750067
2020-11-15,20,24.019225,80.77470057
2020-11-22,10,24.6027668,73.8356668
2020-11-29,17,24.81100144,75.33352144
2020-12-06,10,25.01923608,76.83137608
2020-12-13,8,25.22747072,78.32923072
2020-12-20,6,25.43570536,79.82708536
2020-12-27,8,25.64394,81.32494
2021-01-03,6,26.95548657,75.10433786
2021-01-10,9,27.76278457,73.25545057
2021-01-17,12,28.470144,62.76222243
2021-01-24,28,29.22921,58.79635171
2021-01-31,18,27.62148029,68.60645129
2021-02-07,15,24.46350943,79.61718629
2021-02-14,15,26.529429,78.07528986
2021-02-21,24,25.48592329,85.36807343
2021-02-28,19,26.93522071,75.680719
2021-03-07,27,25.44642857,81.75049
2021-03-14,36,26.85293329,78.02577157
2021-03-21,39,27.58592143,74.19365
2021-03-28,45,26.36785714,72.78018514
2021-04-04,52,24.45595257,75.30691857
2021-04-11,48,24.08615271,72.85715614
2021-04-18,36,23.28514729,78.59721771
2021-04-25,38,22.83203914,80.995328
2021-05-02,30,23.029762,81.43136229
2021-05-09,39,21.25595257,78.63421086
2021-05-16,50,22.625,78.30824429
2021-05-23,49,23.16666657,72.55735829
2021-05-30,40,22.77083343,84.217555
2021-06-06,34,22.61904743,82.31081214
2021-06-13,33,19.54425486,79.73751543
2021-06-20,21,20.674478,77.96026357
2021-06-27,28,18.98898914,75.16441414
2021-07-04,22,19.30688857,80.63962643
2021-07-11,19,20.95807457,79.62116657
2021-07-18,19,18.65993771,72.07592
2021-07-25,7,19.05702971,65.82783814
2021-08-01,12,18.84152086,73.88244286
2021-08-08,9,20.69772257,77.66208271
2021-08-15,9,22.24792971,75.99629129
2021-08-22,16,24.56055914,64.91426557
2021-08-29,17,22.18791171,78.43788286
2021-09-05,12,23.40104457,78.25241629
2021-09-12,9,24.07954514,77.94272943
2021-09-19,6,22.61309514,70.21716986
2021-09-26,14,24.04192571,73.40610486
2021-10-03,4,22.47619057,80.53411
2021-10-10,9,22.93280629,79.97522657
2021-10-17,3,20.59970829,82.52147429
2021-10-24,6,22.82467571,83.26518943
2021-10-31,6,22.270022,85.68370157
2021-11-07,5,21.12987,80.851583
2021-11-14,20,23.707792,73.02238257
2021-11-21,24,24.17798286,71.36054114
2021-11-28,23,25.38638686,75.54758857
2021-12-05,16,23.76112829,77.47609686
2021-12-12,6,26.67494829,80.48143914
2021-12-19,4,24.61775371,73.57103371
2021-12-26,4,25.07326371,79.39759657
2022-01-02,21,26.78536929,78.18297214
2022-01-09,14,25.15476171,85.37482229
2022-01-16,22,27.729342,75.73813857
2022-01-23,19,28.130952,69.42989871
2022-01-30,31,26.56059586,82.04712929
2022-02-06,35,24.63690457,82.95310771
2022-02-13,47,25.48809543,83.49107286
2022-02-20,62,26.68452371,80.60744486
2022-02-27,66,28.285714,70.83254429
2022-03-06,116,28.66071429,65.96784829
2022-03-13,126,27.90578271,71.78439471
2022-03-20,177,26.30187086,69.82325214
2022-03-27,153,26.22137729,78.42154229
2022-04-03,222,25.02261886,80.92350357
2022-04-10,201,24.62619043,77.53805714
2022-04-17,234,23.59083857,72.63564229
2022-04-24,342,24.77813857,77.01767729
2022-05-01,461,24.45357143,76.414742
2022-05-08,505,22.470238,77.73657714
2022-05-15,406,20.32738086,69.924275
2022-05-22,400,20.88419971,76.03121771
2022-05-29,338,21.94302729,82.28158429
2022-06-05,255,19.82925171,84.01194714
2022-06-12,153,18.95238086,76.84451857
2022-06-19,209,20.61904771,81.73434371
2022-06-26,189,19.76309229,78.30921914
2022-07-03,155,20.75541143,74.91002014
2022-07-10,144,21.79901971,77.01652786
2022-07-17,194,22.45833343,78.42693514
2022-07-24,148,21.71722729,75.12184
2022-07-31,145,20.39880971,78.14575129
