data_iniSE,SE,casos
2022/4/3,202214,222
2022/4/10,202215,201
2022/4/17,202216,234
2022/4/24,202217,342
2022/5/1,202218,461
2022/5/8,202219,505
2022/5/15,202220,406
2022/5/22,202221,400
2022/5/29,202222,338
2022/6/5,202223,255
2022/6/12,202224,153
2022/6/19,202225,209
2022/6/26,202226,189
2022/7/3,202227,155
2022/7/10,202228,144
2022/7/17,202229,194
2022/7/24,202230,148
2022/7/31,202231,145
2022/8/7,202232,106
2022/8/14,202233,110
2022/8/21,202234,99
2022/8/28,202235,94
2022/9/4,202236,101
2022/9/11,202237,120
2022/9/18,202238,102
2022/9/25,202239,95
2022/10/2,202240,102
2022/10/9,202241,123
2022/10/16,202242,160
2022/10/23,202243,139
2022/10/30,202244,131
2022/11/6,202245,171
2022/11/13,202246,129
2022/11/20,202247,94
2022/11/27,202248,86
2022/12/4,202249,98
2022/12/11,202250,123
2022/12/18,202251,117
2022/12/25,202252,163
2023/1/1,202301,230
2023/1/8,202302,217
2023/1/15,202303,246
2023/1/22,202304,311
2023/1/29,202305,384
2023/2/5,202306,524
2023/2/12,202307,371
2023/2/19,202308,506
2023/2/26,202309,872
2023/3/5,202310,944
2023/3/12,202311,1125
2023/3/19,202312,1382
2023/3/26,202313,1578
2023/4/2,202314,1419
2023/4/9,202315,1782
2023/4/16,202316,1499
2023/4/23,202317,1571
2023/4/30,202318,1919
2023/5/7,202319,1807
2023/5/14,202320,1731
2023/5/21,202321,1478
2023/5/28,202322,1328
2023/6/4,202323,1238
2023/6/11,202324,1348
2023/6/18,202325,1236
2023/6/25,202326,996
2023/7/2,202327,835
2023/7/9,202328,769
2023/7/16,202329,646
2023/7/23,202330,557
2023/7/30,202331,602
2023/8/6,202332,536
2023/8/13,202333,534
2023/8/20,202334,505
2023/8/27,202335,459
2023/9/3,202336,444
2023/9/10,202337,550
2023/9/17,202338,518
2023/9/24,202339,446
2023/10/1,202340,472
2023/10/8,202341,380
2023/10/15,202342,464
2023/10/22,202343,449
2023/10/29,202344,477
2023/11/5,202345,703
2023/11/12,202346,569
2023/11/19,202347,895
2023/11/26,202348,980
2023/12/3,202349,1138
2023/12/10,202350,1395
2023/12/17,202351,1063
2023/12/24,202352,943
